Institution,Institution_Country,Institution_State,Institution_Region_Census,Institution_Division_Census,Region (https://www.aamc.org/career-development/affinity-groups/gsa/member-schools-region#negsa)
Ross University School of Medicine,Dominica,NA,NA,NA,NA
Evangelical University,Nigeria,NA,NA,NA,NA
University of Guadalajara,Mexico,NA,NA,NA,NA
UNIVERSITY OF MASSACHUSETTS -DARTMOUTH,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
MASSACHUSETTS INSTITUTE OF HEALTH PROFESSIONS,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Boston University School of Medicine,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
UNIVERSITY OF MASSACHUSETTS,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
BOSTON COLLEGE,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Russian State Medical School,Russia,NA,NA,NA,NA
Pomorska Academy of Medicine,Poland,NA,NA,NA,NA
MASSACHUSETTS COL OF PHAR & HEALTH SCIENCES,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
MGH INSTITUTE OF HEALTH PROFESSIONS,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
University of Cairo,Egypt,NA,NA,NA,NA
MASSACHUSETTS COLLEGE OF PHARMACY & ALLIED HLTH SC,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
MCPHS University - Worcester,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Saint Joseph School of Nursing,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Brockton Hospital,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Cape Cod Community College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
St Joseph's Hospital School of Nursing,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Nepal Medical College,Nepal,NA,NA,NA,NA
University of Massachusetts - Boston,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Worcester State College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
University of Massachusetts - Worcester,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
CETEC University,Dominican Republic,NA,NA,NA,NA
University of Massachusetts-Boston Campus,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
UNIVERSITY OF MASS -DARTMOUTH,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
